Name,Disaster,Begin_Date,Month,Day,Year,End_Date,CPI_Adjusted_Cost,Deaths
California Freeze (December 1998),Freeze,19981220,12,20,1998,19981228,4225,0
Central and Eastern Winter Storm (January 1999),Winter Storm,19990101,1,1,1999,19990104,1724.2,25
Central and Eastern Winter Storm (Mid-January 1999),Winter Storm,19990113,1,13,1999,19990116,1473,0
Oklahoma and Kansas Tornadoes (May 1999),Severe Storm,19990503,5,3,1999,19990506,3360.3,55
Eastern Drought/Heatwave (Summer 1999),Drought,19990601,6,1,1999,19990831,4173.2,502
Hurricane Floyd (September 1999),Tropical Cyclone,19990914,9,14,1999,19990916,10839.9,77
Southeast Winter Storm (January 2000),Winter Storm,20000121,1,21,2000,20000124,1143.7,4
Southern Severe Weather (March 2000),Severe Storm,20000328,3,28,2000,20000329,1104,0
Western Fire Season (Spring-Summer 2000),Wildfire,20000301,3,1,2000,20000831,1741.5,0
South Florida Flooding (October 2000),Flooding,20001003,10,3,2000,20001004,1458,3
Western/Central/Southeast Drought/Heatwave (Spring-Fall 2000),Drought,20000301,3,1,2000,20001130,8095.5,140
Midwest/Ohio Valley Hail and Tornadoes (April 2001),Severe Storm,20010406,4,6,2001,20010411,4828,3
Tropical Storm Allison (June 2001),Tropical Cyclone,20010605,6,5,2001,20010617,13294.3,43
Severe Storms and Tornadoes (April 2002),Severe Storm,20020427,4,27,2002,20020428,3224.4,7
Hurricane Lili (October 2002),Tropical Cyclone,20020801,8,1,2002,20020805,1701,2
Tropical Storm Isidore (September 2002),Tropical Cyclone,20020925,9,25,2002,20020927,1736.5,5
Eastern Tornadoes and Severe Storms (November 2002),Severe Storm,20021109,11,9,2002,20021111,1087.2,28
Western Fire Season (Fall 2002),Wildfire,20020901,9,1,2002,20021130,2037,21
U.S. Drought (Spring-Fall 2002),Drought,20020301,3,1,2002,20021130,13869.9,0
Severe Storms/Hail (April 2003),Severe Storm,20030404,4,4,2003,20030407,3029.5,3
Severe Storms/Tornadoes (May 2003),Severe Storm,20030503,5,3,2003,20030510,6233.9,51
Midwest/Plains Severe Weather (July 2003),Severe Storm,20030704,7,4,2003,20030709,1295.7,7
Severe Weather (July 2003),Severe Storm,20030721,7,21,2003,20030723,1522.5,7
Hurricane Isabel (September 2003),Tropical Cyclone,20030918,9,18,2003,20030919,8280.9,55
Western/Central Drought/Heatwave (Spring-Fall 2003),Drought,20030301,3,1,2003,20031130,7576.7,35
California Wildfires (Fall 2003),Wildfire,20030901,9,1,2003,20031130,5874.3,22
"Severe Storms, Hail, Tornadoes (May 2004)",Severe Storm,20040521,5,21,2004,20040527,1500.8,4
Hurricane Charley (August 2004),Tropical Cyclone,20040813,8,13,2004,20040814,23679.3,35
Hurricane Frances (September 2004),Tropical Cyclone,20040903,9,3,2004,20040909,14504,48
Hurricane Ivan (September 2004),Tropical Cyclone,20040912,9,12,2004,20040921,30340.8,57
Hurricane Jeanne (September 2004),Tropical Cyclone,20040915,9,15,2004,20040929,11094.8,28
